"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"plogr","plogr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.4"
"plot3D","plot3D","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4",NA,"R (>= 2.15)","misc3d, stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.0.5"
"plotdap","plotdap","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.0.9",NA,"R (>= 4.0.0)","cmocean, dplyr, gganimate, ggnewscale (>= 0.4.1), ggplot2 (>=
3.1.0), lazyeval, lubridate, magrittr, maps, raster, rerddap
(>= 0.6.0), rgeos, scales, sf, tidyr, viridis",NA,"Cairo, knitr, mapdata, maptools, rgdal, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"plotly","plotly","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.10.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr (>= 1.3.0), jsonlite (>= 1.6), magrittr,
digest, viridisLite, base64enc, htmltools (>= 0.3.6),
htmlwidgets (>= 1.5.2.9001), tidyr (>= 1.0.0), RColorBrewer,
dplyr, vctrs, tibble, lazyeval (>= 0.2.0), rlang (>= 0.4.10),
crosstalk, purrr, data.table, promises",NA,"MASS, maps, hexbin, ggthemes, GGally, testthat, knitr,
devtools, shiny (>= 1.1.0), shinytest (>= 1.3.0), curl,
rmarkdown, Cairo, broom, webshot, listviewer, dendextend,
maptools, rgeos, sf, png, IRdisplay, processx, plotlyGeoAssets,
forcats, palmerpenguins, rversions, reticulate",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"plotmo","plotmo","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.6.1",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.2), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-51), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-15), rpart.plot (>= 3.0.8)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"plotrix","plotrix","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.8-2",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"pls","pls","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.8-0",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"plyr","plyr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.7",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"png","png","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.3"
"polyclip","polyclip","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.3"
"polycor","polycor","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8-1",NA,"R (>= 3.3.0)","stats, mvtnorm, Matrix, parallel, admisc (>= 0.22)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"polynom","polynom","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4-1",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"ppgam","ppgam","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,"R (>= 3.5.0)","MASS, mgcv, evgam",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"pracma","pracma","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3.8",NA,"R (>= 3.1.0)","graphics, grDevices, stats, utils",NA,"NlcOptim, quadprog",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"praise","praise","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"prediction","prediction","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.14",NA,"R (>= 3.5.0)","utils, stats, data.table",NA,"datasets, methods, testthat","AER, aod, betareg, biglm, brglm, caret, crch, e1071, earth,
ff, ffbase, gam (>= 1.15), gee, glmnet, glmx, kernlab, lme4,
MASS, mclogit, mda, mlogit, MNP, nlme, nnet, ordinal, plm,
pscl, quantreg, rpart, sampleSelection, speedglm, survey (>=
3.31-5), survival, truncreg, VGAM","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"prettydoc","prettydoc","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.1",NA,NA,"rmarkdown (>= 1.17)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.0.5"
"prettymapr","prettymapr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.2",NA,NA,"digest, rjson, httr, plyr",NA,"maptools, raster, rosm, testthat, rgdal, sp",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"prettyunits","prettyunits","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"prismatic","prismatic","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 3.2)","graphics, farver (>= 2.0.1), grDevices",NA,"covr, crayon, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"pROC","pROC","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.18.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"processx","processx","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.5.3",NA,"R (>= 3.4.0)","ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.7.0), cli (>= 1.1.0), codetools, covr, curl,
debugme, parallel, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"prodlim","prodlim","C:/Users/sarah.salois/Documents/r/win-library/4.0","2019.11.13",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, grDevices, graphics, survival,
KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"profvis","profvis","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.7",NA,"R (>= 3.0)","htmlwidgets (>= 0.3.2), stringr",NA,"knitr, ggplot2, rmarkdown, testthat, devtools, shiny,
htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"progress","progress","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"progressr","progressr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.10.0",NA,"R (>= 3.5.0)","digest, utils",NA,"graphics, tcltk, beepr, crayon, pbmcapply, progress, purrr,
foreach, plyr, doFuture, future, future.apply, furrr,
rstudioapi, shiny, commonmark, base64enc, tools",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"PROJ","PROJ","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.0",NA,"R (>= 3.0.2)",NA,NA,"testthat (>= 2.1.0), spelling, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"proj4","proj4","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-11",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"promises","promises","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future (>= 1.21.0), fastmap (>= 1.1.0), purrr,
knitr, rmarkdown, vembedr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"prophet","prophet","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0",NA,"R (>= 3.4.0), Rcpp (>= 0.12.0), rlang (>= 0.3.0.1)","dplyr (>= 0.7.7), dygraphs (>= 1.1.1.4), extraDistr, ggplot2,
grid, lubridate, methods, RcppParallel (>= 5.0.1), rstan (>=
2.18.1), rstantools (>= 2.0.0), scales, StanHeaders, stats,
tidyr (>= 0.6.1), xts","BH (>= 1.66.0), Rcpp (>= 0.12.0), RcppParallel (>= 5.0.1),
RcppEigen (>= 0.3.3.3.0), rstan (>= 2.18.1), StanHeaders (>=
2.18.0)","knitr, testthat, readr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"proxy","proxy","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4-26",NA,"R (>= 3.4.0)","stats, utils",NA,"cba",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"ps","ps","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6.0",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"ptw","ptw","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.9-16",NA,NA,"RcppDE, graphics, grDevices, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"purrr","purrr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"pwr","pwr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-0",NA,NA,"stats, graphics",NA,"ggplot2, scales, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.5"
"qgam","qgam","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.4",NA,"R (>= 3.5.0), mgcv (>= 1.8-28)","shiny, plyr, doParallel, parallel, grDevices",NA,"knitr, rmarkdown, MASS, RhpcBLASctl, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"quadmesh","quadmesh","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.0",NA,"R (>= 2.10)","raster, gridBase, viridis, png, sp, geometry, reproj (>=
0.4.0), scales, palr",NA,"knitr, rmarkdown, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"quadprog","quadprog","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5-8",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"quantmod","quantmod","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.18",NA,"R (>= 3.2.0), xts(>= 0.9-0), zoo, TTR(>= 0.2), methods","curl",NA,"DBI,RMySQL,RSQLite,timeSeries,xml2,downloader,jsonlite(>=
1.1)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"quantreg","quantreg","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.88",NA,"R (>= 2.6), stats, SparseM","methods, graphics, Matrix, MatrixModels",NA,"tripack, akima, MASS, survival, rgl, logspline, nor1mix,
Formula, zoo, R.rsp, conquer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"r2d3","r2d3","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.6",NA,"R (>= 3.1.2)","htmlwidgets (>= 1.2), htmltools, jsonlite, rstudioapi",NA,"knitr, rmarkdown, R6, shiny, shinytest, testthat, webshot",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"r2glmm","r2glmm","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.2",NA,NA,"mgcv, lmerTest, Matrix, pbkrtest, ggplot2, afex, stats, MASS,
gridExtra, grid, data.table, dplyr",NA,"lme4, nlme, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"R6","R6","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.5.1",NA,"R (>= 3.0)",NA,NA,"testthat, pryr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"ragg","ragg","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.2",NA,NA,"systemfonts (>= 1.0.3), textshaping (>= 0.3.0)","systemfonts, textshaping","covr, testthat, grid, graphics",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"randomForest","randomForest","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.6-14",NA,"R (>= 3.2.2), stats",NA,NA,"RColorBrewer, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"ranger","ranger","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.13.1",NA,"R (>= 3.1)","Rcpp (>= 0.11.2), Matrix","Rcpp, RcppEigen","covr, survival, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"rapidjsonr","rapidjsonr","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"rappdirs","rappdirs","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.3",NA,"R (>= 3.2)",NA,NA,"roxygen2, testthat (>= 3.0.0), covr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"raster","raster","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.4-5",NA,"sp (>= 1.4.1), R (>= 3.5.0)","Rcpp, methods","Rcpp","rgdal (>= 1.5-8), rgeos (>= 0.3-8), ncdf4, igraph, tcltk,
parallel, rasterVis, MASS, sf, tinytest, gstat, fields",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.3"
"rasterKernelEstimates","rasterKernelEstimates","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.2",NA,"R (>= 3.1.0)","raster",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"rasterVis","rasterVis","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.51.2",NA,"R (>= 3.0.0), methods, lattice (>= 0.20-41)","raster (>= 3.4-13), terra (>= 1.4-9), latticeExtra, stats,
utils, parallel, grid, grDevices, RColorBrewer, hexbin, sp (>=
1.0-6), zoo, viridisLite",NA,"rgl, ggplot2, colorspace, dichromat, sf",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"ratelimitr","ratelimitr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.1",NA,NA,"assertthat",NA,"testthat, microbenchmark, knitr, rmarkdown, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rbibutils","rbibutils","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.2.8",NA,"R (>= 2.10)","utils, tools",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"rcdd","rcdd","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5",NA,"R (>= 3.0.2)","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"rcmdcheck","rcmdcheck","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.0",NA,NA,"callr (>= 3.1.1.9000), cli (>= 3.0.0), curl, desc (>= 1.2.0),
digest, pkgbuild, prettyunits, R6, rprojroot, sessioninfo (>=
1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, processx, ps, rmarkdown, svglite,
testthat, webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"RColorBrewer","RColorBrewer","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-3",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.5"
"Rcpp","Rcpp","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.7",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppArmadillo","RcppArmadillo","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.11.0.0.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix (>= 1.3.0), pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppDE","RcppDE","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.6",NA,NA,"Rcpp","Rcpp, RcppArmadillo","inline, DEoptim, lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RcppEigen","RcppEigen","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.3.9.2",NA,NA,"Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"RcppParallel","RcppParallel","C:/Users/sarah.salois/Documents/r/win-library/4.0","5.1.5",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.5"
"RcppProgress","RcppProgress","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,NA,NA,NA,"RcppArmadillo, devtools, roxygen2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.4"
"RcppRoll","RcppRoll","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.0",NA,"R (>= 2.15.1)","Rcpp","Rcpp","zoo, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"RCurl","RCurl","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.98-1.6",NA,"R (>= 3.4.0), methods","bitops",NA,"XML",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"Rdpack","Rdpack","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3",NA,"R (>= 2.15.0), methods","tools, utils, rbibutils (>= 1.3)",NA,"grDevices, testthat, rstudioapi, rprojroot, gbRd",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"reactable","reactable","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.3",NA,"R (>= 3.1)","digest, htmltools, htmlwidgets, jsonlite, reactR",NA,"covr, crosstalk, dplyr, leaflet, MASS, rmarkdown, shiny,
sparkline, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"reactR","reactR","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.4",NA,NA,"htmltools",NA,"htmlwidgets (>= 1.5.3), rmarkdown, shiny, V8, knitr, usethis,
jsonlite",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"readr","readr","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.2",NA,"R (>= 3.1)","cli (>= 3.0.0), clipr, crayon, hms (>= 0.4.1), lifecycle (>=
0.2.0), methods, R6, rlang, tibble, utils, vroom (>= 1.5.6)","cpp11, tzdb (>= 0.1.1)","covr, curl, datasets, knitr, rmarkdown, spelling, stringi,
testthat (>= 3.1.2), tzdb (>= 0.1.1), waldo, withr, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"readxl","readxl","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.0",NA,"R (>= 3.4)","cellranger, tibble (>= 2.0.1), utils","cpp11 (>= 0.4.0), progress","knitr, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"recipes","recipes","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"dplyr, R (>= 3.1)","ellipsis, generics (>= 0.1.0.9000), glue, gower, hardhat (>=
0.1.6.9001), ipred (>= 0.9-12), lifecycle, lubridate, magrittr,
Matrix, purrr (>= 0.2.3), rlang (>= 0.4.0), stats, tibble,
tidyr (>= 1.0.0), tidyselect (>= 1.1.0), timeDate, utils,
vctrs, withr",NA,"covr, ddalpha, dials (>= 0.0.10.9001), ggplot2, igraph,
kernlab, knitr, modeldata, parsnip (>= 0.1.7), RANN, RcppRoll,
rmarkdown, rpart, rsample, RSpectra, testthat (>= 3.0.0),
workflows, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"registry","registry","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"rematch","rematch","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"rematch2","rematch2","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"remotes","remotes","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.4.2",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, webfakes, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rentrez","rentrez","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.3",NA,"R (>= 2.6.0)","XML, httr (>= 0.5), jsonlite (>= 0.9)",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"reprex","reprex","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.1",NA,"R (>= 3.3)","callr (>= 3.6.0), cli (>= 2.3.1), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), rlang (>= 0.4.0), rmarkdown, rstudioapi,
utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, mockr, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"reproj","reproj","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,"R (>= 3.2.5)","proj4, PROJ (>= 0.1.6), crsmeta (>= 0.3.0)",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"rerddap","rerddap","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.0",NA,"R (>= 2.10)","utils, crul (>= 0.7.4), dplyr (>= 0.5.0), data.table (>=
1.12.0), jsonlite (>= 1.6), xml2 (>= 1.2.0), digest, ncdf4 (>=
1.16), tibble, hoardr (>= 0.5.2)",NA,"testthat, vcr (>= 0.2.6)","taxize","MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rerddapXtracto","rerddapXtracto","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.2",NA,"R(>= 4.0.0)","abind, dplyr, ggplot2, httr, maps, methods, ncdf4, parsedate,
plotdap (>= 0.0.5), readr, rerddap (>= 0.6.0), sf, sp, stats,
utils",NA,"cmocean, gganimate, knitr, mapdata, maptools, rgdal,
rmarkdown",NA,"CC0",NA,NA,NA,NA,"no","4.0.5"
"reshape","reshape","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"reshape2","reshape2","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.4"
"revealjs","revealjs","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.9",NA,"R (>= 3.0)","rmarkdown (>= 1.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rex","rex","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"rgdal","rgdal","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5-23",NA,"R (>= 3.5.0), methods, sp (>= 1.1-0)","grDevices, graphics, stats, utils","sp","knitr, DBI, RSQLite, maptools, mapview, rmarkdown, curl,
rgeos",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"rgeos","rgeos","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5-9",NA,"R (>= 3.3.0), methods, sp (>= 1.1-0)","utils, stats, graphics","sp","maptools (>= 0.8-5), testthat, XML, maps, rgdal",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"rgl","rgl","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.108.3",NA,"R (>= 3.3.0)","graphics, grDevices, stats, utils, htmlwidgets, htmltools,
knitr (>= 1.33), jsonlite (>= 0.9.20), magrittr, R6",NA,"MASS, rmarkdown, deldir (>= 1.0-4), orientlib, lattice,
misc3d, magick, plotrix (>= 3.7-3), tripack, interp,
alphashape3d, tcltk, js (>= 1.2), akima, webshot2, downlit (>=
0.4.0), pkgdown, extrafont, shiny, manipulateWidget (>= 0.9.0),
testthat, markdown, crosstalk","waldo","GPL",NA,NA,NA,NA,"yes","4.0.5"
"RgoogleMaps","RgoogleMaps","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.4.5.3",NA,"R (>= 2.10)","graphics, stats, utils, grDevices, methods, png,sp",NA,"PBSmapping, maptools, loa, RColorBrewer, leaflet,jpeg, RCurl",NA,"GPL",NA,NA,NA,NA,"no","4.0.4"
"rio","rio","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.5.29",NA,"R (>= 2.15.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.9.8), readxl (>= 0.1.1), openxlsx, tibble",NA,"datasets, bit64, testthat, knitr, magrittr, arrow, clipr,
feather, fst, hexView, jsonlite, pzfx, readODS (>= 1.6.4),
readr, rmarkdown, rmatio, xml2 (>= 1.2.0), yaml",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
